RA ,DEC, BMAG, D
311.7158 ,-12.8481 ,14.00 ,    0.94
156.1179 ,-12.4325 ,16.79 ,    5.11
188.9142 ,-11.0672 ,15.70 ,   10.00
189.3088 ,-10.4975 ,16.54 ,    7.70
189.3996 , -8.8672 ,16.30 ,    9.10
 95.2283 , -8.6503 ,16.90 ,    8.50
150.4100 , -8.2489 ,15.41 ,    9.70
177.7208 , 38.8806 ,13.70 ,    2.64
  0.0938 , 39.4956 ,16.80 ,    8.47
205.6358 , 39.6583 ,15.69 ,    8.90
115.3575 , 40.1125 ,14.40 ,    6.85
 10.6254 , 40.5758 ,17.18 ,    6.31
204.9742 , 40.7392 ,14.22 ,    3.01
112.0717 , 40.7703 ,15.12 ,    5.73
  1.9333 , 40.8756 ,15.50 ,    9.60
190.9821 , 41.4569 ,17.20 ,    6.09
198.8800 , 41.5014 ,18.70 ,    8.90
198.2446 , 41.7867 ,16.40 ,    8.06
127.1188 , 41.8567 ,15.27 ,   10.28
198.4154 , 42.0442 ,18.20 ,    6.00
187.7875 , 42.0942 ,17.80 ,    5.80
187.2179 , 42.1778 ,15.01 ,    8.90
157.1375 , 42.6689 ,17.40 ,    7.55
 40.5450 , 43.3553 ,14.60 ,    9.30
184.8867 , 43.3864 ,17.70 ,    8.23
  7.2667 , 43.4317 ,15.64 ,    6.73
190.9892 , 43.6614 ,17.43 ,    4.31
176.7967 , 43.6719 ,18.10 ,    4.51
187.1871 , 43.9717 ,14.20 ,    4.07
107.3283 , 44.3800 ,15.41 ,    7.24
199.3313 , 44.3967 ,17.60 ,   10.00
204.1867 , 44.5992 ,15.90 ,    7.74
184.3688 , 44.8114 ,15.40 ,    9.20
189.9121 , 44.8208 ,15.96 ,    8.50
110.6854 , 45.1083 ,15.96 ,    8.55
198.6192 , 45.9194 ,12.97 ,    4.33
198.3450 , 46.3197 ,15.45 ,    4.19
197.0150 , 46.8281 ,16.03 ,    4.55
184.2921 , 47.0636 ,18.50 ,    7.80
192.8054 , 47.0708 ,17.50 ,    8.83
184.7879 , 47.0897 ,15.75 ,    7.24
114.3688 , 47.4092 ,18.06 ,   15.70
198.8779 , 47.4964 ,14.46 ,    4.41
101.9788 , 47.5139 ,17.40 ,   19.30
198.8338 , 47.5436 ,18.00 ,    4.20
180.7500 , 47.6542 ,17.20 ,    7.49
186.5667 , 48.4919 ,15.14 ,    5.68
173.3713 , 49.2381 ,14.44 ,    3.89
 99.6600 , 49.2583 ,16.70 ,   15.50
202.1300 , 49.6272 ,17.30 ,    8.02
160.3200 , 70.1508 ,19.60 ,    3.91
157.1654 , 70.2336 ,16.20 ,    4.00
255.1054 , 70.2900 ,16.80 ,   10.60
151.3775 , 70.3644 ,14.42 ,    8.71
141.6163 , 70.5067 ,19.00 ,    3.93
125.9833 , 71.0294 ,16.35 ,    3.55
155.3550 , 71.1161 ,17.30 ,    3.96
145.1346 , 71.1864 ,13.64 ,    3.84
144.8162 , 71.3117 ,19.60 ,    3.63
 56.2358 , 72.0644 ,18.00 ,    3.50
 66.3150 , 72.8058 ,14.84 ,    3.93
